Time,Gas1,Liquid1,Gas2
53.215,9.340658,-4.748468,7.703832
53.582,9.259701,-4.930471,7.699602
53.949,9.197514,-5.075336,7.695816
54.316,9.107931,-5.245629,7.683965
54.683,9.020024,-5.417109,7.66827
55.05,8.961605,-5.575309,7.655815
55.417,8.878748,-5.756237,7.650364
55.784,8.7783,-5.913361,7.628434
56.151,8.706173,-6.049667,7.625689
56.518,8.639682,-6.219274,7.629847
56.885,8.555122,-6.382395,7.629151
57.252,8.472239,-6.537254,7.637222
57.619,8.431906,-6.668861,7.608755
57.986,8.32525,-6.821547,7.615814
58.353,8.254881,-6.946447,7.619693
58.72,8.190377,-7.090856,7.597216
59.087,8.112814,-7.204299,7.594449
59.454,8.034631,-7.357107,7.597054
59.821,7.978029,-7.484538,7.616637
60.188,7.899663,-7.627591,7.613868
60.555,7.834666,-7.753611,7.620487
60.922,7.769251,-7.886773,7.610797
61.289,7.694809,-8.00509,7.632719
61.656,7.637562,-8.126446,7.622778
62.023,7.551617,-8.285785,7.615697
62.39,7.473822,-8.405142,7.609859
62.757,7.406443,-8.534092,7.631299
63.124,7.341882,-8.6698,7.625149
63.491,7.2603,-8.789184,7.617747
63.858,7.199188,-8.927204,7.632623
64.225,7.162847,-9.067036,7.624722
64.592,7.085539,-9.192387,7.635987
64.959,7.021027,-9.316961,7.633533
65.326,6.94154,-9.448941,7.630184
65.693,6.881195,-9.569633,7.637644
66.06,6.801079,-9.709035,7.671902
66.427,6.748483,-9.819337,7.672104
66.794,6.697725,-9.935971,7.672283
67.161,6.631667,-10.069475,7.659721
67.528,6.570574,-10.181031,7.66974
67.895,6.500024,-10.296451,7.665062
68.262,6.461284,-10.414643,7.700518
68.629,6.406193,-10.564445,7.688441
68.996,6.316394,-10.656486,7.712716
69.363,6.243816,-10.783897,7.712213
69.73,6.187575,-10.921591,7.71673
70.097,6.125402,-11.01045,7.738265
70.464,6.054329,-11.152343,7.732475
70.831,5.99995,-11.257497,7.758206
71.198,5.943515,-11.352505,7.759919
71.565,5.875297,-11.482417,7.779535
71.932,5.779924,-11.595549,7.77935
72.299,5.723492,-11.712867,7.777688
72.666,5.647855,-11.835878,7.806201
73.033,5.600402,-11.942517,7.791264
73.4,5.535118,-12.046145,7.825352
73.767,5.470654,-12.18607,7.834475
74.134,5.383621,-12.273644,7.860072
74.501,5.343319,-12.391812,7.850385
74.868,5.267719,-12.534153,7.874328
75.235,5.193584,-12.608344,7.867095
75.602,5.136667,-12.726265,7.91214
75.969,5.101559,-12.833502,7.899611
